designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 6730683759695805312,6730683759695805312,284.2157029,-38.00425732,0.8306043997,-2.545821109,-12.95580135,1.0063561,15.842323,1.0466843,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5009.939,4.3952,-0.7384,1147.2695,0.0666,0.0537,0.0289
Gaia DR3 6730683759695807872,6730683759695807872,284.2090126,-38.00306969,0.2800275111,-17.30131877,-13.59877643,1.0236303,19.898884,1.8136482,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683759695808768,6730683759695808768,284.2196944,-38.00279172,0.678484257,-4.308870762,-2.438858119,0.98373824,20.172777,0.9273796,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683759695830656,6730683759695830656,284.2148862,-37.99861224,0.1623947304,2.852355048,-18.95942833,0.9271614,19.843746,1.0413055,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683759706105088,6730683759706105088,284.2104183,-38.00290906,-1.253612745,2.141081123,-2.7852491,1.0257355,20.664394,1.2425175,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683759707415680,6730683759707415680,284.212456,-37.99819468,-0.3845310515,-0.2931401759,-8.219206766,0.9871944,20.642597,1.1751938,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683763989786624,6730683763989786624,284.2152533,-38.00608315,1.610012587,3.744643529,-5.344737507,0.9305924,20.079803,0.75808907,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683763989790848,6730683763989790848,284.2097559,-38.00676345,-0.1865706658,-5.453600689,-3.597172537,1.009293,19.779625,0.702528,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683763989797376,6730683763989797376,284.2071415,-38.00473119,-0.098561229,-1.271413919,-5.520202068,0.93988067,19.796816,1.0302334,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683763991957120,6730683763991957120,284.2223404,-38.00968035,0.6096662797,0.172268722,-4.499027929,0.9867038,20.255232,1.1411572,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
